,path,class,image_id,label_gran_3,label_gran_5,label_gran_7,label_gran_10,label_gran_15,label_gran_20,label_gran_25,label_gran_30,label_gran_50,label_gran_70,label_gran_100,label_gran_150,label_gran_200,label_gran_300
1674,030.Fish_Crow/Fish_Crow_0058_25999.jpg,30,1675,4,3,41,775,249,291,3490,1256,4892,2717,5482,3032,2627,4838
1675,030.Fish_Crow/Fish_Crow_0038_26000.jpg,30,1676,1,17,48,460,1830,397,3909,3099,3501,1335,3034,1413,2149,3272
1676,030.Fish_Crow/Fish_Crow_0069_26008.jpg,30,1677,7,13,25,683,2049,1434,1500,1150,1233,3919,646,4484,404,1502
1679,030.Fish_Crow/Fish_Crow_0070_25504.jpg,30,1680,3,23,4,610,2113,1537,2625,4506,2791,5437,5398,4135,3470,5550
1680,030.Fish_Crow/Fish_Crow_0007_26023.jpg,30,1681,4,3,41,775,249,1437,279,2508,2918,1415,3081,3227,1559,434
1683,030.Fish_Crow/Fish_Crow_0079_26030.jpg,30,1684,2,1,40,488,2080,2469,3901,4732,670,487,1818,3758,4033,3254
1684,030.Fish_Crow/Fish_Crow_0001_26031.jpg,30,1685,3,23,4,128,136,1153,1154,4287,4304,1407,1266,4283,3885,2184
1685,030.Fish_Crow/Fish_Crow_0023_26037.jpg,30,1686,4,3,41,775,249,291,3225,1962,5410,3871,161,4218,2408,4539
1686,030.Fish_Crow/Fish_Crow_0049_26040.jpg,30,1687,4,3,41,775,249,291,3225,1962,5410,3871,161,4218,2408,4539
1687,030.Fish_Crow/Fish_Crow_0014_26041.jpg,30,1688,1,17,48,224,721,3146,1496,2606,5248,5300,3816,5245,1829,1610
1688,030.Fish_Crow/Fish_Crow_0060_26016.jpg,30,1689,3,24,30,770,1846,249,2009,1936,1181,5650,1121,1970,3688,1919
1689,030.Fish_Crow/Fish_Crow_0022_26062.jpg,30,1690,2,1,40,281,1463,2924,1668,1257,1794,3724,3017,779,1746,3521
1690,030.Fish_Crow/Fish_Crow_0024_26064.jpg,30,1691,3,23,4,128,136,1153,1154,5456,3163,1795,48,1952,3579,106
1698,030.Fish_Crow/Fish_Crow_0043_25847.jpg,30,1699,1,17,48,460,1830,397,3825,3171,3189,5234,180,3096,4102,4950
1700,030.Fish_Crow/Fish_Crow_0016_25854.jpg,30,1701,1,17,48,224,721,3146,1496,2606,5248,3173,731,3292,3602,300
1702,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0005_26161.jpg,31,1703,4,3,69,349,2204,222,1610,2448,1997,2248,666,5969,1122,4583
1703,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0028_26165.jpg,31,1704,7,13,97,542,1728,223,657,792,5435,5149,2393,1682,3366,705
1705,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0084_26175.jpg,31,1706,4,15,123,624,1991,516,1628,1749,4013,5674,2189,1861,2618,1749
1706,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0047_26176.jpg,31,1707,1,12,60,642,340,3644,5209,186,959,3816,5071,139,4709,5652
1708,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0079_26180.jpg,31,1709,1,17,48,347,2010,3912,1702,724,3057,4249,3026,4179,418,1165
1710,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0086_26188.jpg,31,1711,1,12,60,350,2024,4149,1877,298,3719,5331,5128,2353,4768,3154
1713,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0096_26204.jpg,31,1714,3,24,122,175,1270,1451,204,4828,4396,706,5917,2842,3286,5187
1715,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0081_26209.jpg,31,1716,6,16,86,471,490,626,3086,548,579,1614,4148,732,3765,1734
1716,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0088_26217.jpg,31,1717,4,0,29,219,69,3677,3341,1048,3186,548,4501,4609,4281,4660
1719,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0077_26222.jpg,31,1720,1,20,52,505,611,1700,2688,4717,982,1861,487,297,3376,2455
1720,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0055_26223.jpg,31,1721,4,15,123,624,1991,516,1950,1620,5314,3573,1540,3935,1890,4815
1723,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0066_26303.jpg,31,1724,5,8,22,435,1891,340,1547,1711,2629,503,2961,3099,3367,5889
1725,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0082_26241.jpg,31,1726,5,27,15,703,1182,3538,1818,3452,3198,365,4482,5257,225,5385
1726,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0001_26242.jpg,31,1727,2,18,57,584,86,2867,3205,1953,1893,4939,4485,5619,5617,893
1730,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0074_795286.jpg,31,1731,4,29,14,412,1979,723,2839,5082,4120,4612,2964,1924,3445,1589
1731,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0058_795292.jpg,31,1732,4,3,69,106,1512,1198,2571,5413,1577,1476,3729,2156,4252,1854
1733,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0075_795298.jpg,31,1734,4,0,29,219,2206,827,3978,5592,459,577,3779,918,3716,950
1734,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0087_795300.jpg,31,1735,4,15,123,311,845,2578,3352,1423,5154,689,1324,1711,1743,2594
1739,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0062_795309.jpg,31,1740,4,3,69,349,2204,222,1610,1307,775,27,3083,1512,2620,2706
1740,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0070_795310.jpg,31,1741,1,11,70,190,129,3122,4686,2758,304,3556,4476,958,2172,1524
1741,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0092_795313.jpg,31,1742,4,0,29,219,69,1984,4993,2224,5690,2900,3461,721,3474,3373
1743,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0093_795316.jpg,31,1744,4,3,69,106,204,1017,2509,2530,1836,1382,795,4747,5890,3599
1746,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0053_795321.jpg,31,1747,1,17,115,741,1586,3117,3681,1970,2747,3823,1912,1902,1583,2004
1748,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0057_795323.jpg,31,1749,1,11,70,589,1010,1659,1537,3732,994,617,2590,5099,5323,1451
1750,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0069_795326.jpg,31,1751,5,8,68,189,49,1678,1715,3325,2208,5643,4019,3570,2895,4276
1751,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0061_795327.jpg,31,1752,3,24,122,444,740,1655,3709,3994,5632,3988,1747,1002,528,632
1753,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0019_795329.jpg,31,1754,1,12,60,642,100,639,3166,3658,3469,628,3475,1437,4486,3691
1756,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0090_26311.jpg,31,1757,2,1,20,454,1961,800,3674,91,877,5613,637,2681,1449,4379
1757,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0054_26313.jpg,31,1758,4,3,69,349,557,169,3890,5301,3107,987,771,1835,4238,5622
1758,031.Black_billed_Cuckoo/Black_Billed_Cuckoo_0031_26318.jpg,31,1759,4,0,29,333,2325,2391,3708,3367,5750,1371,1084,1077,2193,3709
1761,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0029_794624.jpg,32,1762,4,3,65,144,1711,471,4510,1341,971,2822,477,4773,3821,322
1762,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0022_794625.jpg,32,1763,4,15,123,624,1991,516,1950,3003,5066,3325,2871,2125,333,4067
1763,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0041_26370.jpg,32,1764,4,29,93,116,531,3179,2430,4714,1730,1558,1152,3041,4974,3551
1764,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0051_794627.jpg,32,1765,2,31,100,476,2181,3720,3538,4571,2548,3101,189,3797,3465,517
1765,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0042_794628.jpg,32,1766,7,13,36,433,1698,947,90,2193,1194,5926,5196,953,1467,3215
1766,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0020_794629.jpg,32,1767,5,5,103,551,2130,1949,4241,2596,4735,4798,5711,3066,5376,5876
1768,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0025_26375.jpg,32,1769,2,19,113,641,1317,1191,4669,1984,1030,5621,799,2293,2392,1664
1769,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0039_26348.jpg,32,1770,4,3,41,772,1461,4029,3984,5003,3971,1884,331,2279,3226,4213
1771,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0015_26380.jpg,32,1772,4,15,3,48,2087,2013,2308,4144,2815,2937,525,2421,3976,3640
1772,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0006_794626.jpg,32,1773,7,6,8,59,1699,2344,1956,4382,5095,294,3062,2749,2262,256
1773,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0012_26382.jpg,32,1774,1,17,115,244,1747,105,3769,4293,3194,22,2450,1267,3451,2301
1774,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0014_26388.jpg,32,1775,2,31,26,687,1693,2,4780,3917,1185,4048,3204,4423,2876,3008
1777,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0044_26393.jpg,32,1778,7,6,8,183,1973,1282,4579,1888,5061,1514,5951,5335,5981,2563
1778,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0048_26351.jpg,32,1779,3,24,122,175,1132,3528,3544,1105,2997,2232,221,2067,2030,2101
1780,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0031_26401.jpg,32,1781,4,29,82,675,2068,3399,3056,4698,2950,865,2182,4080,5919,2427
1786,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0034_26415.jpg,32,1787,6,2,107,47,1599,3540,106,439,221,1322,2065,3243,1522,3895
1788,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0028_26358.jpg,32,1789,4,0,29,403,166,372,4426,3453,5779,1696,2071,4440,2222,1297
1789,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0027_26360.jpg,32,1790,2,31,100,476,1863,494,4294,2151,3347,3739,1328,2734,2173,5832
1791,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0050_794594.jpg,32,1792,0,26,44,749,950,2397,4309,3065,5857,4711,3209,5632,4268,2927
1793,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0005_794599.jpg,32,1794,4,3,69,349,557,169,2705,1244,3896,2804,1501,5147,3578,5004
1794,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0038_794600.jpg,32,1795,6,25,21,99,669,1891,3854,2490,4520,5511,2279,3172,761,1663
1800,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0036_794606.jpg,32,1801,1,20,42,372,2312,1545,4539,1470,3363,5741,1615,5110,4897,2696
1801,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0016_794607.jpg,32,1802,7,22,58,439,1298,887,4122,2014,5425,3446,5752,5688,1805,1871
1802,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0052_794608.jpg,32,1803,2,1,50,602,1433,2832,75,4378,1040,876,5785,3856,1030,5389
1805,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0045_794612.jpg,32,1806,1,12,60,623,294,3760,3872,4255,3850,2207,1576,4927,3131,3014
1807,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0004_794614.jpg,32,1808,4,15,123,311,845,2578,2730,62,4362,4760,1332,2047,4592,1713
1808,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0033_26359.jpg,32,1809,4,0,29,333,2325,2391,1397,447,2425,4400,4786,579,3389,73
1809,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0046_794616.jpg,32,1810,4,3,69,31,1340,448,3427,3623,2964,5464,114,1264,3699,326
1811,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0013_794620.jpg,32,1812,1,17,115,741,576,1033,3061,5623,594,4599,2200,2460,5599,1867
1812,032.Mangrove_Cuckoo/Mangrove_Cuckoo_0019_794621.jpg,32,1813,7,13,97,542,1728,223,657,2497,4117,3976,3335,5558,4838,5264
1814,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0048_26632.jpg,33,1815,4,29,82,675,911,754,3795,5283,5864,2445,2301,945,4075,4405
1816,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0094_26643.jpg,33,1817,1,12,60,2,2286,3400,2382,4414,4196,2345,4057,5336,5487,1057
1817,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0027_26844.jpg,33,1818,3,23,75,373,442,1547,873,4102,4259,418,773,560,604,2667
1819,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0082_26655.jpg,33,1820,4,29,82,52,1454,2210,868,4278,208,1585,469,3810,1632,83
1820,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0009_26656.jpg,33,1821,4,3,69,106,1512,337,5060,1898,2536,1147,4832,3731,297,3015
1822,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0022_26423.jpg,33,1823,4,3,69,106,1512,3281,1736,5270,201,4063,5131,4277,2036,69
1823,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0050_26424.jpg,33,1824,0,26,106,321,819,3876,289,4152,3840,643,1353,3314,3917,5509
1824,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0036_26682.jpg,33,1825,4,0,29,219,553,1522,4307,2806,5745,3635,1756,5142,2022,1633
1826,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0045_26685.jpg,33,1827,2,1,20,370,1096,321,820,4679,5689,2237,3715,5811,5889,4560
1829,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0093_26432.jpg,33,1830,4,3,69,721,1903,1824,2123,2721,554,3437,5708,1236,3213,2397
1830,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0042_26479.jpg,33,1831,1,11,70,589,1010,706,3367,3656,204,515,5608,616,5291,652
1832,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0034_26694.jpg,33,1833,2,18,92,733,1276,3319,1873,4898,3183,5862,919,463,1224,3685
1833,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0028_26446.jpg,33,1834,1,11,70,323,704,3999,435,3980,469,5333,940,867,4927,5452
1834,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0039_26510.jpg,33,1835,5,30,12,432,1765,970,2623,2869,377,1972,3493,1661,5218,4494
1836,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0097_26713.jpg,33,1837,4,0,29,219,69,1984,3147,4540,4986,5087,2012,1578,3140,2286
1838,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0002_26715.jpg,33,1839,4,29,82,52,80,491,3918,1083,2205,2074,1389,2799,3240,1517
1840,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0091_26428.jpg,33,1841,4,3,69,106,1512,1198,2571,5413,4891,4756,3808,1135,4438,501
1841,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0081_26429.jpg,33,1842,1,11,70,589,1010,2116,2881,1078,1791,156,4761,5151,3322,2402
1848,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0084_26761.jpg,33,1849,5,27,15,703,168,4033,751,1759,1671,1477,2164,3913,5708,4564
1849,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0049_26766.jpg,33,1850,1,12,60,350,137,1041,2588,2095,4407,3105,3116,3600,1638,1018
1851,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0004_26790.jpg,33,1852,4,15,18,186,1484,927,1351,113,5170,717,369,148,2154,3842
1853,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0026_26794.jpg,33,1854,4,15,3,295,1088,1493,1310,698,3914,936,656,3363,3327,5194
1854,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0010_26795.jpg,33,1855,4,0,29,333,2374,1575,2604,2387,832,2695,1188,1524,3348,2567
1857,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0019_26803.jpg,33,1858,1,20,52,728,2216,2199,241,4602,1473,5164,2090,5719,3102,3063
1859,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0121_26807.jpg,33,1860,1,12,60,642,100,639,3848,357,825,5694,2835,1786,1083,1292
1862,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0038_26912.jpg,33,1863,4,0,29,219,553,1522,622,5424,3270,5027,1932,5014,5115,1594
1863,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0059_26828.jpg,33,1864,4,15,18,638,1472,1488,4049,2142,5387,363,4532,3231,4258,3053
1867,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0069_26597.jpg,33,1868,2,19,105,351,1035,1018,4719,4962,4388,4142,3071,751,5539,582
1869,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0092_26859.jpg,33,1870,4,0,29,219,553,1522,1637,453,5274,2595,2915,314,1889,2967
1871,033.Yellow_billed_Cuckoo/Yellow_Billed_Cuckoo_0032_26616.jpg,33,1872,2,1,40,478,989,38,2553,3077,723,3450,4644,2864,5465,3457
1874,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0042_27143.jpg,34,1875,6,7,80,521,254,2107,416,3051,127,255,2187,4535,814,2661
1876,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0074_27156.jpg,34,1877,1,12,60,623,377,3311,1273,220,4092,3470,1681,5203,2901,562
1877,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0026_27160.jpg,34,1878,4,15,123,583,428,1055,3678,4422,3262,1303,5301,3593,853,4831
1878,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0075_27165.jpg,34,1879,7,22,16,689,299,1969,3126,3493,3164,507,86,2553,1944,4326
1879,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0016_27181.jpg,34,1880,6,7,127,485,585,925,3383,4342,632,2553,1731,3019,5314,1763
1880,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0043_26990.jpg,34,1881,0,14,98,508,1383,210,4995,1973,2936,1164,3602,5303,1747,5310
1882,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0068_27196.jpg,34,1883,0,21,31,359,2045,4056,5239,3777,2198,2066,4918,4452,1499,5081
1885,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0001_27211.jpg,34,1886,7,22,119,168,458,906,2169,5500,4268,1024,2015,3048,1042,1839
1888,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0061_26979.jpg,34,1889,0,21,31,650,62,2744,4798,3650,1979,2077,1154,2022,493,558
1891,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0025_797274.jpg,34,1892,5,27,15,56,1913,3692,4480,3264,576,1722,3170,2054,462,5342
1894,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0044_26976.jpg,34,1895,4,29,93,329,98,2374,2795,2254,2799,377,4940,1279,3760,4988
1896,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0006_797284.jpg,34,1897,0,21,31,185,250,2359,1188,4560,2396,3496,4685,868,800,808
1897,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0071_797285.jpg,34,1898,5,27,125,652,1915,3050,1562,5213,3253,4071,2546,2227,3886,5170
1898,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0021_797286.jpg,34,1899,3,4,56,722,1940,657,340,1138,1652,741,184,209,4518,3020
1902,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0015_797291.jpg,34,1903,5,27,15,56,510,481,663,785,5711,5048,4163,5093,2664,5190
1903,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0051_26988.jpg,34,1904,5,27,15,621,1097,2484,2909,2809,4623,5513,3482,3018,4043,1500
1904,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0056_797293.jpg,34,1905,5,27,27,49,1212,303,156,688,5110,5606,4315,5377,1570,1286
1906,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0046_797295.jpg,34,1907,3,9,112,332,381,407,1012,682,3844,3158,5722,3721,219,4407
1910,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0065_797301.jpg,34,1911,1,12,19,696,2179,744,2695,2153,3743,3427,5713,3698,3799,349
1911,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0047_797303.jpg,34,1912,5,27,15,206,1492,3560,2824,4704,1070,565,752,160,5793,3799
1913,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0038_797309.jpg,34,1914,0,21,31,462,2244,648,4763,2061,2398,4047,4223,5960,5879,2233
1917,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0052_27032.jpg,34,1918,5,27,15,56,1913,2572,4482,5219,698,2046,2720,772,3323,3772
1919,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0010_27039.jpg,34,1920,6,7,127,670,750,2438,2639,1088,5772,1290,712,726,3977,1042
1920,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0024_27057.jpg,34,1921,5,30,12,72,2148,1181,3621,1500,712,4883,2576,2107,1617,137
1921,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0012_27062.jpg,34,1922,0,26,106,321,819,3742,3506,2617,3209,1743,3094,1603,970,5516
1922,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0030_27068.jpg,34,1923,6,2,35,704,2029,2293,260,1605,645,2382,2705,5838,647,4652
1927,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0080_27108.jpg,34,1928,5,27,15,56,1913,1540,5051,1062,170,5020,225,1195,143,1822
1928,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0013_27110.jpg,34,1929,4,29,82,595,1726,3695,3516,4895,1133,5719,3256,198,726,1802
1929,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0055_27112.jpg,34,1930,4,29,32,493,2348,3722,564,5252,1277,1283,3022,5348,1159,2305
1931,034.Gray_crowned_Rosy_Finch/Gray_Crowned_Rosy_Finch_0063_27123.jpg,34,1932,4,29,82,595,223,1330,1618,2482,5553,1534,5040,2445,5180,2862
1932,035.Purple_Finch/Purple_Finch_0025_28174.jpg,35,1933,1,12,64,425,290,738,3382,1185,4418,3305,5393,2359,4231,5914
1933,035.Purple_Finch/Purple_Finch_0048_27670.jpg,35,1934,0,21,31,650,62,4094,365,5024,4630,1096,5125,2887,5055,3543
1935,035.Purple_Finch/Purple_Finch_0096_27688.jpg,35,1936,7,22,119,168,2304,3320,2431,949,1585,26,845,5962,4339,2114
1937,035.Purple_Finch/Purple_Finch_0050_27702.jpg,35,1938,5,27,15,621,1097,1995,5227,5085,3529,527,756,3385,4292,885
1940,035.Purple_Finch/Purple_Finch_0110_27750.jpg,35,1941,6,7,80,541,1793,3081,524,5542,4264,1755,5866,1129,4986,5468
1944,035.Purple_Finch/Purple_Finch_0092_27264.jpg,35,1945,6,7,127,549,1113,3712,1959,1353,4096,924,522,1650,5392,3679
1948,035.Purple_Finch/Purple_Finch_0111_27293.jpg,35,1949,5,27,15,456,680,3624,2806,3402,4616,2892,2884,843,5188,4237
1950,035.Purple_Finch/Purple_Finch_0032_27305.jpg,35,1951,6,7,80,576,1093,1745,1935,419,4790,1711,2816,3149,5618,4386
1951,035.Purple_Finch/Purple_Finch_0102_27308.jpg,35,1952,3,4,2,115,1952,688,534,2829,4583,2543,5189,5130,1874,3067
1952,035.Purple_Finch/Purple_Finch_0014_27322.jpg,35,1953,1,12,53,455,2051,1986,4521,1692,3990,4552,1256,3976,1585,4518
1953,035.Purple_Finch/Purple_Finch_0094_27323.jpg,35,1954,7,22,16,689,299,3961,3941,656,1911,4079,3604,5030,1135,2119
1954,035.Purple_Finch/Purple_Finch_0114_27837.jpg,35,1955,4,29,14,412,2122,2446,2365,2607,3352,4077,1477,3395,594,5645
1956,035.Purple_Finch/Purple_Finch_0081_27913.jpg,35,1957,5,27,15,611,880,3957,3116,1473,4322,3252,1733,5826,1732,4053
1960,035.Purple_Finch/Purple_Finch_0006_27950.jpg,35,1961,6,2,35,450,2123,3561,176,4507,820,2855,4544,1378,40,4619
1962,035.Purple_Finch/Purple_Finch_0071_27443.jpg,35,1963,3,4,6,469,464,182,3575,529,5713,897,3132,75,4998,2982
1969,035.Purple_Finch/Purple_Finch_0013_27506.jpg,35,1970,5,27,27,291,1609,1002,5074,1522,5806,1757,2331,44,5801,2144
1970,035.Purple_Finch/Purple_Finch_0049_27507.jpg,35,1971,5,27,15,621,1097,2453,2697,3757,1731,1009,1449,2039,5481,600
1971,035.Purple_Finch/Purple_Finch_0005_27512.jpg,35,1972,5,27,102,222,2114,4021,1287,4264,1525,5121,5299,3223,4878,1979
1972,035.Purple_Finch/Purple_Finch_0134_27526.jpg,35,1973,5,27,15,56,1913,2866,2393,3859,2012,1830,4496,5788,799,551
1973,035.Purple_Finch/Purple_Finch_0053_27543.jpg,35,1974,3,4,56,722,1940,2018,5045,4696,400,3177,5175,709,5480,668
1974,035.Purple_Finch/Purple_Finch_0113_27547.jpg,35,1975,4,0,54,746,1710,3205,2591,3214,4152,649,3199,5068,1231,387
1976,035.Purple_Finch/Purple_Finch_0011_27633.jpg,35,1977,6,7,127,670,666,231,2772,5535,32,5526,5497,2143,5140,1590
1977,035.Purple_Finch/Purple_Finch_0088_28076.jpg,35,1978,5,27,125,341,1968,3826,2840,560,5540,3359,1363,741,3275,4505
1978,035.Purple_Finch/Purple_Finch_0004_27565.jpg,35,1979,6,7,127,670,311,2818,2077,3801,1043,4298,481,2013,2467,5078
1980,035.Purple_Finch/Purple_Finch_0104_28088.jpg,35,1981,4,15,61,262,2073,4014,767,408,5872,3282,1432,629,3021,5498
1981,035.Purple_Finch/Purple_Finch_0074_28101.jpg,35,1982,4,29,82,52,1519,2292,438,5366,2035,5568,3806,1886,147,598
1987,035.Purple_Finch/Purple_Finch_0108_28143.jpg,35,1988,6,7,127,485,585,245,3409,4790,2485,136,595,1591,1174,4393
1989,035.Purple_Finch/Purple_Finch_0086_27637.jpg,35,1990,1,12,19,711,2013,3917,1824,367,2689,98,449,2290,730,4683
1990,035.Purple_Finch/Purple_Finch_0082_27639.jpg,35,1991,5,27,15,56,1771,269,3745,4161,4127,3994,4766,1373,324,867
1991,035.Purple_Finch/Purple_Finch_0036_27641.jpg,35,1992,5,27,15,56,1913,2866,4870,4867,3963,1597,719,2256,938,2636
1993,036.Northern_Flicker/Northern_Flicker_0036_28681.jpg,36,1994,0,26,106,196,2296,569,2281,191,2537,647,1341,5666,5048,4801
1997,036.Northern_Flicker/Northern_Flicker_0075_28729.jpg,36,1998,5,8,90,718,2301,682,994,725,2783,2152,1279,2772,927,4174
2000,036.Northern_Flicker/Northern_Flicker_0037_28751.jpg,36,2001,7,13,97,542,261,78,2465,63,5563,1320,4194,1375,4499,443
2001,036.Northern_Flicker/Northern_Flicker_0050_28284.jpg,36,2002,2,1,126,395,2219,4057,4617,3164,5587,273,5508,3075,905,4495
2002,036.Northern_Flicker/Northern_Flicker_0091_28799.jpg,36,2003,5,30,12,535,1136,622,1455,1206,4095,843,4504,4942,2814,4028
